"Scheduled Tasks","Scheduled Tasks"
"Scheduled Task Status","Scheduled Task Status"
"Name","Name"
"Command","Command"
"Schedule","Schedule"
"Status","Status"
"Started","Started"
"Finished","Finished"
"Duration","Duration"
"Error","Error"
"Actions","Actions"
"Priority","Priority"
"View","View"
"Enable","Enable"
"Disable","Disable"
"Back to Scheduled Tasks","Back to Scheduled Tasks"
"No status has been recorded yet for the scheduled task ""%name%"".","No status has been recorded yet for the scheduled task ""%name%""."
"Scheduled job ""%name%"" has been enabled.","Scheduled job ""%name%"" has been enabled."
"Scheduled job ""%name%"" has been disabled.","Scheduled job ""%name%"" has been disabled."
"CSRF token is not valid. Please try again.","CSRF token is not valid. Please try again."
"Run now","Run now"
"Scheduled job ""%name%"" has been queued to run now.","Scheduled job ""%name%"" has been queued to run now."
"Scheduled job ""%name%"" is disabled and cannot be run.","Scheduled job ""%name%"" is disabled and cannot be run."
"The scheduler storage is currently unavailable, so the action for ""%name%"" was not applied. Please try again later.","The scheduler storage is currently unavailable, so the action for ""%name%"" was not applied. Please try again later."
